marca,modello,descrizione,immagine,prezzo
Apple,iPhone 15 Pro,Smartphone con chip A17 Pro e sistema di fotocamere avanzato da 48MP. Display ProMotion 120Hz.,https://images.unsplash.com/photo-1695048133142-1a20484d2569?w=600,1199.00
Apple,MacBook Air M3,Laptop ultrasottile con chip M3 fino a 18h di batteria e display Liquid Retina 13.6 pollici.,https://images.unsplash.com/photo-1611186871525-ac42f2a6ce72?w=600,1299.00
Apple,iPad Pro 12.9,Tablet professionale con chip M2 display Liquid Retina XDR e connettore Thunderbolt.,https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?w=600,1119.00
Samsung,Galaxy S24 Ultra,Smartphone con S Pen integrata zoom 100x e processore Snapdragon 8 Gen 3.,https://images.unsplash.com/photo-1610945415295-d9bbf067e59c?w=600,1349.00
Samsung,Galaxy Tab S9,Tablet Android con display AMOLED 120Hz resistente all'acqua e S Pen inclusa.,https://images.unsplash.com/photo-1561154464-82e9adf32764?w=600,899.00
Sony,WH-1000XM5,Cuffie over-ear wireless con cancellazione del rumore leader del settore e 30h di autonomia.,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=600,349.00
Sony,PlayStation 5,Console di ultima generazione con SSD ultra-rapido controller DualSense e 4K a 120fps.,https://images.unsplash.com/photo-1607853202273-797f1c22a38e?w=600,549.00
Sony,Alpha A7 IV,Fotocamera mirrorless full-frame 33MP con video 4K 60p e stabilizzazione ottica a 5 assi.,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?w=600,2499.00
Dyson,V15 Detect,Aspirapolvere senza filo con laser anti-polvere e sensore piezoelettrico per particelle.,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=600,649.00
Dyson,Airwrap Multi-Styler,Styler a tecnologia Coanda per arricciare asciugare e modellare senza calore estremo.,https://images.unsplash.com/photo-1522338242992-e1a54906a8da?w=600,499.00
